Headers,,,,,
Test Date,12/14/2022,12/14/2022,
Test Time,3:39:07 PM,3:39:07 PM,
Test ID,Drop 4,Drop 4,
Test Description,7 ft| 50lb| 2in|7 ft| 50lb| 2in,
Sample Rate (Hz),10000,10000,
Hardware AA Filter (-3dB),2900,2900,
Data Channel Number,1,2,
ISO Channel Code,????????????????,????????????????,
Channel Description,ACC,Pressure,
Channel Location,NONE,NONE,
Sensor S/N,AC_64B-2000_A282153,PT_XTEL-190S-25D,
Software Filter (SAE Class),AdHoc(0),AdHoc(0),
Software Filter (-3dB),0,0,
Engineering Unit,g ,psi ,
User Comment,,,
Number of Pre-Zero Data Pts,5001,5001,
Number of Post-Zero Data Pts,25001,25001,
Data Zero (CNTS),-38,0,
Scale Factor (EU/CNT),-0.10130542099808,-0.00095384767677509,
Scale Factor (mV/CNT),-0.007659618742764,-0.00190769915934652,
Data Starts Here,,,,,
Time,Chan 0:AC_64B-2000_A282153,Chan 1:PT_XTEL-190S-25D,
-0.500100,1.823498,0.431139
-0.500000,1.418276,0.428278
-0.499900,1.519581,0.430185
-0.499800,1.620887,0.425416
-0.499700,1.722192,0.430185
-0.499600,0.911749,0.426370
-0.499500,1.418276,0.426370
-0.499400,1.519581,0.428278
-0.499300,1.316970,0.426370
-0.499200,1.722192,0.429231
-0.499100,1.620887,0.425416
-0.499000,1.418276,0.429231
-0.498900,1.620887,0.427324
-0.498800,1.418276,0.425416
-0.498700,1.620887,0.427324
-0.498600,1.418276,0.425416
-0.498500,1.823498,0.430185
-0.498400,1.215665,0.430185
-0.498300,1.722192,0.427324
-0.498200,1.215665,0.425416
-0.498100,1.519581,0.425416
-0.498000,1.620887,0.425416
-0.497900,1.519581,0.426370
-0.497800,1.519581,0.423508
-0.497700,1.519581,0.421601
-0.497600,1.519581,0.423508
-0.497500,1.722192,0.420647
-0.497400,1.418276,0.425416
-0.497300,1.519581,0.422555
-0.497200,1.620887,0.426370
-0.497100,1.823498,0.428278
-0.497000,1.620887,0.428278
-0.496900,1.620887,0.427324
-0.496800,1.823498,0.425416
-0.496700,1.722192,0.423508
-0.496600,1.519581,0.426370
-0.496500,1.316970,0.422555
-0.496400,1.620887,0.430185
-0.496300,1.418276,0.424462
-0.496200,1.418276,0.422555
-0.496100,1.519581,0.426370
-0.496000,1.823498,0.425416
-0.495900,2.026108,0.427324
-0.495800,1.924803,0.425416
-0.495700,1.418276,0.424462
-0.495600,1.418276,0.426370
-0.495500,1.722192,0.426370
-0.495400,1.418276,0.422555
-0.495300,1.418276,0.426370
-0.495200,1.316970,0.424462
-0.495100,1.620887,0.428278
-0.495000,1.418276,0.424462
-0.494900,1.722192,0.426370
-0.494800,1.013054,0.427324
-0.494700,1.316970,0.424462
-0.494600,1.519581,0.426370
-0.494500,1.316970,0.425416
-0.494400,1.418276,0.427324
-0.494300,1.316970,0.430185
-0.494200,1.418276,0.424462
-0.494100,1.620887,0.427324
-0.494000,1.722192,0.426370
-0.493900,1.316970,0.425416
-0.493800,1.418276,0.426370
-0.493700,1.316970,0.425416
-0.493600,1.620887,0.427324
-0.493500,1.722192,0.429231
-0.493400,1.519581,0.430185
-0.493300,1.519581,0.425416
-0.493200,1.418276,0.427324
-0.493100,1.620887,0.427324
-0.493000,1.620887,0.429231
-0.492900,1.722192,0.425416
-0.492800,1.722192,0.424462
-0.492700,1.823498,0.427324
-0.492600,1.620887,0.423508
-0.492500,1.418276,0.422555
-0.492400,1.722192,0.426370
-0.492300,1.519581,0.428278
-0.492200,1.722192,0.429231
-0.492100,1.418276,0.427324
-0.492000,1.620887,0.426370
-0.491900,1.519581,0.431139
-0.491800,1.722192,0.428278
-0.491700,1.924803,0.427324
-0.491600,1.418276,0.424462
-0.491500,1.519581,0.424462
